topk,run,test nodes,fault coverage,node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
50,81,10,85.00,100.00,0.0000,0.0000,0,3
50,82,10,80.00,90.00,0.0000,0.0000,1,4
50,83,10,90.00,100.00,0.0000,0.0000,0,2
50,84,10,95.00,100.00,0.0000,0.0000,0,1
50,85,10,85.00,90.00,0.0000,0.0000,1,3
50,86,10,90.00,100.00,0.0000,0.0000,0,2
50,87,10,85.00,100.00,0.0000,0.0000,0,3
50,88,10,85.00,100.00,0.0000,0.0000,0,3
50,89,10,85.00,100.00,0.0000,0.0000,0,3
50,9,10,95.00,100.00,0.0000,0.0000,0,1
50,90,10,70.00,100.00,0.0000,0.0000,0,6
50,91,10,90.00,100.00,0.0000,0.0000,0,2
50,92,10,95.00,100.00,0.0000,0.0000,0,1
50,93,10,90.00,100.00,0.0000,0.0000,0,2
50,94,10,55.00,80.00,0.0000,0.0000,2,9
50,95,10,90.00,100.00,0.0000,0.0000,0,2
50,96,10,100.00,100.00,0.0000,0.0000,0,0
50,97,10,90.00,90.00,0.0000,0.0000,1,2
50,98,10,90.00,100.00,0.0000,0.0000,0,2
50,99,10,95.00,100.00,0.0000,0.0000,0,1
100,1,20,72.50,95.00,0.0000,0.0000,1,11
100,10,20,70.00,90.00,0.0000,0.0000,2,12
100,100,20,72.50,90.00,0.0000,0.0000,2,11
100,101,20,70.00,90.00,0.0000,0.0000,2,12
100,102,20,75.00,90.00,0.0000,0.0000,2,10
100,103,20,65.00,85.00,0.0000,0.0000,3,14
100,104,20,67.50,85.00,0.0000,0.0000,3,13
100,105,20,77.50,95.00,0.0000,0.0000,1,9
100,106,20,57.50,80.00,0.0000,0.0000,4,17
100,107,20,87.50,100.00,0.0000,0.0000,0,5
100,108,20,75.00,90.00,0.0000,0.0000,2,10
100,109,20,70.00,90.00,0.0000,0.0000,2,12
100,11,20,87.50,100.00,0.0000,0.0000,0,5
100,110,20,70.00,90.00,0.0000,0.0000,2,12
100,111,20,75.00,90.00,0.0000,0.0000,2,10
100,112,20,80.00,95.00,0.0000,0.0000,1,8
100,113,20,82.50,100.00,0.0000,0.0000,0,7
100,114,20,67.50,95.00,0.0000,0.0000,1,13
100,115,20,72.50,95.00,0.0000,0.0000,1,11
100,116,20,80.00,100.00,0.0000,0.0000,0,8
100,117,20,77.50,95.00,0.0000,0.0000,1,9
100,118,20,75.00,90.00,0.0000,0.0000,2,10
100,119,20,80.00,100.00,0.0000,0.0000,0,8
100,12,20,80.00,95.00,0.0000,0.0000,1,8
100,120,20,67.50,95.00,0.0000,0.0000,1,13
100,121,20,70.00,85.00,0.0000,0.0000,3,12
100,122,20,67.50,85.00,0.0000,0.0000,3,13
100,123,20,82.50,100.00,0.0000,0.0000,0,7
100,124,20,80.00,95.00,0.0000,0.0000,1,8
100,125,20,77.50,95.00,0.0000,0.0000,1,9
100,126,20,75.00,100.00,0.0000,0.0000,0,10
100,127,20,75.00,100.00,0.0000,0.0000,0,10
100,128,20,80.00,100.00,0.0000,0.0000,0,8
100,129,20,70.00,95.00,0.0000,0.0000,1,12
100,13,20,75.00,95.00,0.0000,0.0000,1,10
100,130,20,80.00,95.00,0.0000,0.0000,1,8
100,131,20,77.50,95.00,0.0000,0.0000,1,9
100,132,20,82.50,100.00,0.0000,0.0000,0,7
100,133,20,72.50,95.00,0.0000,0.0000,1,11
100,134,20,62.50,90.00,0.0000,0.0000,2,15
100,135,20,65.00,95.00,0.0000,0.0000,1,14
100,136,20,80.00,95.00,0.0000,0.0000,1,8
100,137,20,82.50,95.00,0.0000,0.0000,1,7
100,138,20,77.50,85.00,0.0000,0.0000,3,9
100,139,20,77.50,100.00,0.0000,0.0000,0,9
100,14,20,85.00,100.00,0.0000,0.0000,0,6
100,140,20,82.50,100.00,0.0000,0.0000,0,7
100,141,20,57.50,80.00,0.0000,0.0000,4,17
100,142,20,77.50,100.00,0.0000,0.0000,0,9
100,143,20,77.50,95.00,0.0000,0.0000,1,9
100,144,20,77.50,90.00,0.0000,0.0000,2,9
100,145,20,77.50,100.00,0.0000,0.0000,0,9
100,146,20,77.50,95.00,0.0000,0.0000,1,9
100,147,20,77.50,95.00,0.0000,0.0000,1,9
100,148,20,87.50,100.00,0.0000,0.0000,0,5
100,149,20,82.50,90.00,0.0000,0.0000,2,7
100,15,20,57.50,80.00,0.0000,0.0000,4,17
100,150,20,70.00,95.00,0.0000,0.0000,1,12
100,151,20,80.00,95.00,0.0000,0.0000,1,8
100,152,20,70.00,90.00,0.0000,0.0000,2,12
100,153,20,77.50,95.00,0.0000,0.0000,1,9
100,154,20,82.50,100.00,0.0000,0.0000,0,7
100,155,20,80.00,100.00,0.0000,0.0000,0,8
100,156,20,67.50,90.00,0.0000,0.0000,2,13
100,157,20,80.00,95.00,0.0000,0.0000,1,8
100,158,20,67.50,80.00,0.0000,0.0000,4,13
100,159,20,80.00,100.00,0.0000,0.0000,0,8
100,16,20,72.50,95.00,0.0000,0.0000,1,11
100,160,20,72.50,90.00,0.0000,0.0000,2,11
100,161,20,80.00,90.00,0.0000,0.0000,2,8
100,162,20,70.00,85.00,0.0000,0.0000,3,12
100,163,20,80.00,90.00,0.0000,0.0000,2,8
100,164,20,85.00,100.00,0.0000,0.0000,0,6
100,165,20,75.00,100.00,0.0000,0.0000,0,10
100,166,20,82.50,100.00,0.0000,0.0000,0,7
100,167,20,62.50,85.00,0.0000,0.0000,3,15
100,168,20,80.00,100.00,0.0000,0.0000,0,8
100,169,20,77.50,95.00,0.0000,0.0000,1,9
100,17,20,75.00,100.00,0.0000,0.0000,0,10
100,170,20,80.00,100.00,0.0000,0.0000,0,8
100,171,20,77.50,100.00,0.0000,0.0000,0,9
100,172,20,70.00,95.00,0.0000,0.0000,1,12
100,173,20,75.00,90.00,0.0000,0.0000,2,10
100,174,20,75.00,95.00,0.0000,0.0000,1,10
100,175,20,80.00,100.00,0.0000,0.0000,0,8
100,176,20,77.50,100.00,0.0000,0.0000,0,9
100,177,20,72.50,95.00,0.0000,0.0000,1,11
100,178,20,70.00,85.00,0.0000,0.0000,3,12
100,179,20,75.00,95.00,0.0000,0.0000,1,10
100,18,20,85.00,100.00,0.0000,0.0000,0,6
100,180,20,82.50,95.00,0.0000,0.0000,1,7
100,181,20,77.50,90.00,0.0000,0.0000,2,9
100,182,20,70.00,85.00,0.0000,0.0000,3,12
100,183,20,75.00,95.00,0.0000,0.0000,1,10
100,184,20,75.00,90.00,0.0000,0.0000,2,10
100,185,20,77.50,95.00,0.0000,0.0000,1,9
100,186,20,67.50,90.00,0.0000,0.0000,2,13
100,187,20,82.50,100.00,0.0000,0.0000,0,7
100,188,20,75.00,90.00,0.0000,0.0000,2,10
100,189,20,75.00,95.00,0.0000,0.0000,1,10
100,19,20,75.00,90.00,0.0000,0.0000,2,10
100,190,20,82.50,95.00,0.0000,0.0000,1,7
100,191,20,65.00,90.00,0.0000,0.0000,2,14
100,192,20,82.50,95.00,0.0000,0.0000,1,7
100,193,20,70.00,95.00,0.0000,0.0000,1,12
100,194,20,82.50,95.00,0.0000,0.0000,1,7
100,195,20,80.00,95.00,0.0000,0.0000,1,8
100,196,20,80.00,100.00,0.0000,0.0000,0,8
100,197,20,75.00,85.00,0.0000,0.0000,3,10
100,198,20,82.50,100.00,0.0000,0.0000,0,7
100,199,20,75.00,95.00,0.0000,0.0000,1,10
100,2,20,72.50,90.00,0.0000,0.0000,2,11
100,20,20,65.00,85.00,0.0000,0.0000,3,14
100,200,20,80.00,95.00,0.0000,0.0000,1,8
100,21,20,75.00,90.00,0.0000,0.0000,2,10
100,22,20,72.50,85.00,0.0000,0.0000,3,11
100,23,20,80.00,100.00,0.0000,0.0000,0,8
100,24,20,75.00,90.00,0.0000,0.0000,2,10
100,25,20,80.00,95.00,0.0000,0.0000,1,8
100,26,20,80.00,100.00,0.0000,0.0000,0,8
100,27,20,82.50,100.00,0.0000,0.0000,0,7
100,28,20,72.50,90.00,0.0000,0.0000,2,11
100,29,20,77.50,90.00,0.0000,0.0000,2,9
100,3,20,75.00,95.00,0.0000,0.0000,1,10
100,30,20,75.00,95.00,0.0000,0.0000,1,10
100,31,20,82.50,100.00,0.0000,0.0000,0,7
100,32,20,60.00,80.00,0.0000,0.0000,4,16
100,33,20,72.50,95.00,0.0000,0.0000,1,11
100,34,20,77.50,100.00,0.0000,0.0000,0,9
100,35,20,67.50,85.00,0.0000,0.0000,3,13
100,36,20,77.50,90.00,0.0000,0.0000,2,9
100,37,20,70.00,85.00,0.0000,0.0000,3,12
100,38,20,82.50,100.00,0.0000,0.0000,0,7
100,39,20,72.50,85.00,0.0000,0.0000,3,11
100,4,20,75.00,100.00,0.0000,0.0000,0,10
100,40,20,67.50,90.00,0.0000,0.0000,2,13
100,41,20,75.00,95.00,0.0000,0.0000,1,10
100,42,20,72.50,95.00,0.0000,0.0000,1,11
100,43,20,75.00,90.00,0.0000,0.0000,2,10
100,44,20,90.00,100.00,0.0000,0.0000,0,4
100,45,20,75.00,100.00,0.0000,0.0000,0,10
100,46,20,75.00,90.00,0.0000,0.0000,2,10
100,47,20,72.50,100.00,0.0000,0.0000,0,11
100,48,20,80.00,95.00,0.0000,0.0000,1,8
100,49,20,80.00,100.00,0.0000,0.0000,0,8
100,5,20,77.50,95.00,0.0000,0.0000,1,9
100,50,20,72.50,95.00,0.0000,0.0000,1,11
100,51,20,82.50,100.00,0.0000,0.0000,0,7
100,52,20,85.00,100.00,0.0000,0.0000,0,6
100,53,20,77.50,95.00,0.0000,0.0000,1,9
100,54,20,77.50,95.00,0.0000,0.0000,1,9
100,55,20,82.50,100.00,0.0000,0.0000,0,7
100,56,20,80.00,95.00,0.0000,0.0000,1,8
100,57,20,62.50,90.00,0.0000,0.0000,2,15
