topk,tested_nodes,fault_coverage(%),node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
365,73,71.23,94.52,0.0000,0.0000,4,42
370,74,68.92,94.59,0.0000,0.0000,4,46
375,75,71.33,94.67,0.0000,0.0000,4,43
380,76,69.74,96.05,0.0000,0.0000,3,46
385,77,70.78,93.51,0.0000,0.0000,5,45
390,78,72.44,97.44,0.0000,0.0000,2,43
395,79,70.89,97.47,0.0000,0.0000,2,46
400,80,68.75,92.50,0.0000,0.0000,6,50
405,81,66.67,90.12,0.0000,0.0000,8,54
410,82,65.24,90.24,0.0000,0.0000,8,57
415,83,67.47,91.57,0.0000,0.0000,7,54
420,84,69.64,92.86,0.0000,0.0000,6,51
425,85,70.59,95.29,0.0000,0.0000,4,50
430,86,72.09,95.35,0.0000,0.0000,4,48
435,87,68.97,94.25,0.0000,0.0000,5,54
440,88,68.75,94.32,0.0000,0.0000,5,55
445,89,66.29,92.13,0.0000,0.0000,7,60
450,90,68.33,94.44,0.0000,0.0000,5,57
455,91,65.93,91.21,0.0000,0.0000,8,62
460,92,67.93,92.39,0.0000,0.0000,7,59
465,93,67.20,93.55,0.0000,0.0000,6,61
470,94,66.49,94.68,0.0000,0.0000,5,63
475,95,67.37,93.68,0.0000,0.0000,6,62
480,96,68.75,94.79,0.0000,0.0000,5,60
485,97,66.49,91.75,0.0000,0.0000,8,65
490,98,67.86,93.88,0.0000,0.0000,6,63
495,99,66.16,93.94,0.0000,0.0000,6,67
500,100,65.00,91.00,0.0000,0.0000,9,70
505,101,67.82,94.06,0.0000,0.0000,6,65
510,102,68.14,94.12,0.0000,0.0000,6,65
515,103,67.48,95.15,0.0000,0.0000,5,67
520,104,67.79,96.15,0.0000,0.0000,4,67
525,105,68.10,96.19,0.0000,0.0000,4,67
530,106,65.57,93.40,0.0000,0.0000,7,73
535,107,63.55,91.59,0.0000,0.0000,9,78
540,108,66.20,92.59,0.0000,0.0000,8,73
545,109,64.68,91.74,0.0000,0.0000,9,77
550,110,65.45,92.73,0.0000,0.0000,8,76
555,111,66.22,90.99,0.0000,0.0000,10,75
560,112,65.18,91.07,0.0000,0.0000,10,78
565,113,63.72,91.15,0.0000,0.0000,10,82
570,114,64.47,92.11,0.0000,0.0000,9,81
575,115,65.22,90.43,0.0000,0.0000,11,80
580,116,66.38,92.24,0.0000,0.0000,9,78
585,117,62.82,88.89,0.0000,0.0000,13,87
590,118,66.10,94.07,0.0000,0.0000,7,80
595,119,64.29,92.44,0.0000,0.0000,9,85
600,120,62.50,90.83,0.0000,0.0000,11,90
605,121,66.53,93.39,0.0000,0.0000,8,81
610,122,65.16,91.80,0.0000,0.0000,10,85
615,123,63.01,90.24,0.0000,0.0000,12,91
620,124,64.52,91.13,0.0000,0.0000,11,88
625,125,64.80,93.60,0.0000,0.0000,8,88
630,126,65.87,92.86,0.0000,0.0000,9,86
635,127,64.96,90.55,0.0000,0.0000,12,89
640,128,63.28,90.62,0.0000,0.0000,12,94
645,129,63.57,92.25,0.0000,0.0000,10,94
650,130,63.85,92.31,0.0000,0.0000,10,94
655,131,64.12,90.84,0.0000,0.0000,12,94
660,132,62.12,91.67,0.0000,0.0000,11,100
665,133,65.41,90.98,0.0000,0.0000,12,92
670,134,64.55,91.79,0.0000,0.0000,11,95
675,135,63.70,92.59,0.0000,0.0000,10,98
680,136,63.24,88.97,0.0000,0.0000,15,100
685,137,62.41,89.05,0.0000,0.0000,15,103
690,138,61.59,90.58,0.0000,0.0000,13,106
695,139,62.59,89.93,0.0000,0.0000,14,104
700,140,62.14,90.00,0.0000,0.0000,14,106
705,141,63.12,90.78,0.0000,0.0000,13,104
710,142,63.38,90.85,0.0000,0.0000,13,104
715,143,62.24,89.51,0.0000,0.0000,15,108
720,144,61.81,88.89,0.0000,0.0000,16,110
725,145,63.10,89.66,0.0000,0.0000,15,107
730,146,63.70,88.36,0.0000,0.0000,17,106
735,147,62.93,89.80,0.0000,0.0000,15,109
740,148,61.49,87.16,0.0000,0.0000,19,114
745,149,63.09,89.93,0.0000,0.0000,15,110
750,150,64.00,88.67,0.0000,0.0000,17,108
755,151,64.24,89.40,0.0000,0.0000,16,108
760,152,63.16,90.13,0.0000,0.0000,15,112
765,153,63.73,89.54,0.0000,0.0000,16,111
770,154,61.69,87.01,0.0000,0.0000,20,118
775,155,61.61,89.03,0.0000,0.0000,17,119
780,156,61.22,87.18,0.0000,0.0000,20,121
785,157,61.15,86.62,0.0000,0.0000,21,122
790,158,65.19,91.14,0.0000,0.0000,14,110
795,159,61.01,88.05,0.0000,0.0000,19,124
800,160,62.81,89.38,0.0000,0.0000,17,119
805,161,63.35,90.06,0.0000,0.0000,16,118
810,162,61.11,88.89,0.0000,0.0000,18,126
815,163,61.66,87.73,0.0000,0.0000,20,125
820,164,62.20,87.20,0.0000,0.0000,21,124
825,165,63.64,89.09,0.0000,0.0000,18,120
830,166,60.54,86.14,0.0000,0.0000,23,131
835,167,61.38,87.43,0.0000,0.0000,21,129
840,168,62.80,88.69,0.0000,0.0000,19,125
845,169,63.61,89.94,0.0000,0.0000,17,123
850,170,61.47,87.06,0.0000,0.0000,22,131
855,171,61.40,88.30,0.0000,0.0000,20,132
